date,open,high,low,close,adjusted_close,volume
8/26/2025,7971.79,7978.07,7881.21,7905.76,7905.76,504946100
8/25/2025,7921.02,7951.98,7915.05,7926.91,7926.91,376267300
8/22/2025,7910.1,7913.39,7858.85,7858.85,7858.85,320227000
8/21/2025,7903.29,7932.31,7848.88,7890.71,7890.71,341447000
8/20/2025,7874.9,7952.34,7863.86,7943.83,7943.83,374993100
8/19/2025,7905.35,7931.76,7854.1,7862.95,7862.95,358268400
8/15/2025,7967.77,8017.07,7898.37,7898.38,7898.38,346947400
8/14/2025,7909.02,7973.98,7905.55,7931.25,7931.25,361821900
8/13/2025,7846.12,7903.05,7835.3,7892.91,7892.91,323979600
8/12/2025,7666.09,7800.83,7646.91,7791.7,7791.7,272446300
8/11/2025,7589.46,7630.11,7559.35,7605.92,7605.92,238319300
8/8/2025,7639.19,7648.9,7516.98,7533.38,7533.38,234779100
8/7/2025,7546.34,7580.55,7490.18,7490.18,7490.18,278225900
8/6/2025,7534.45,7549.27,7502.01,7503.75,7503.75,260371600
8/5/2025,7502.69,7546.94,7463.06,7515.19,7515.19,246898000
8/4/2025,7552.5,7560.06,7448.04,7464.65,7464.65,266636100
8/1/2025,7545.15,7579.61,7523.62,7537.77,7537.77,257331800
7/31/2025,7551.24,7566.75,7476.38,7484.34,7484.34,325693000
7/30/2025,7642.25,7667.56,7528.13,7549.89,7549.89,282476700
7/29/2025,7625.79,7680.19,7565.79,7617.91,7617.91,230535000
7/28/2025,7630.75,7669.45,7614.77,7614.77,7614.77,229532300
7/25/2025,7542.38,7552.77,7515.13,7543.5,7543.5,215990900
7/24/2025,7485.08,7568.22,7478.36,7530.9,7530.9,242813700
7/23/2025,7378.23,7469.23,7355,7469.23,7469.23,247067700
7/22/2025,7440.29,7457.38,7344.74,7344.74,7344.74,279326600
7/21/2025,7366.31,7408.01,7306.87,7398.19,7398.19,287814600
7/18/2025,7346.04,7401.58,7311.92,7311.92,7311.92,273828000
7/17/2025,7229.26,7291.56,7226.12,7287.02,7287.02,202116700
7/16/2025,7182.65,7216.81,7142.86,7192.02,7192.02,227976400
7/15/2025,7122.08,7161.84,7079,7140.47,7140.47,199389400
7/14/2025,7130.54,7136.3,7071.34,7097.15,7097.15,205642100
7/11/2025,7036.3,7055.79,7026.49,7047.44,7047.44,165301900
7/10/2025,6968.8,7013.63,6955.46,7005.37,7005.37,167684600
7/9/2025,6918.7,6943.92,6907.21,6943.92,6943.92,157353100
7/8/2025,6892.34,6916.83,6885.28,6904.39,6904.39,151801800
7/7/2025,6874.01,6900.93,6844.86,6900.93,6900.93,120827500
7/4/2025,6893.22,6916.67,6843.69,6865.19,6865.19,132824800
7/3/2025,6898.63,6922.73,6877.44,6878.05,6878.05,154435700
7/2/2025,6896.42,6905.37,6838.4,6881.25,6881.25,182041600
7/1/2025,6954.39,6971.24,6885.14,6915.36,6915.36,149285200
6/30/2025,6936.06,6949.28,6876.26,6927.68,6927.68,167652600
6/26/2025,6842.01,6897.4,6817.41,6897.4,6897.4,154075100
6/25/2025,6908.92,6918.78,6814.74,6832.14,6832.14,170914900
6/24/2025,6864.28,6924.97,6852.11,6869.17,6869.17,186087300
6/23/2025,6833.48,6834.77,6745.15,6787.14,6787.14,226947900
6/20/2025,6948.28,6956.81,6873.72,6907.14,6907.14,331625100
6/19/2025,7107.79,7115.9,6935.01,6968.64,6968.64,222226000
6/18/2025,7155.12,7166.67,7089.46,7107.79,7107.79,180387400
6/17/2025,7163.03,7181.47,7143.6,7155.85,7155.85,173034400
6/16/2025,7158.9,7211.54,7117.59,7117.59,7117.59,224577700
6/13/2025,7191.12,7192.66,7149.61,7166.06,7166.06,230230400
6/12/2025,7219.56,7237.27,7191.9,7204.37,7204.37,281607200
6/11/2025,7232.68,7239.96,7172.2,7222.46,7222.46,262581600
6/10/2025,7136.86,7230.75,7133.38,7230.75,7230.75,265169800
6/5/2025,7100.24,7136.64,7083.89,7113.42,7113.42,193147800
6/4/2025,7083.24,7094.45,7052.91,7069.04,7069.04,232777400
6/3/2025,7071.64,7090.35,6994.16,7044.82,7044.82,199730400
6/2/2025,7134.49,7152.91,7035.84,7065.07,7065.07,240143000
5/28/2025,7223.51,7237.34,7166.68,7175.82,7175.82,277488600
5/27/2025,7204.17,7212.57,7162.96,7198.97,7198.97,245398700
5/26/2025,7231.48,7240.08,7129.39,7188.35,7188.35,331040000
5/23/2025,7206.36,7223.25,7177.25,7214.16,7214.16,152151100
5/22/2025,7165.1,7190.67,7136.78,7166.98,7166.98,201247200
5/21/2025,7114.7,7170.72,7109.22,7142.46,7142.46,228188900
5/20/2025,7164.15,7202.82,7088.62,7094.6,7094.6,219667500
5/19/2025,7113.44,7160.66,7085.97,7141.09,7141.09,227261200
5/16/2025,7092.23,7106.53,7009.85,7106.53,7106.53,239677400
5/15/2025,7003.15,7076.74,7002.37,7040.16,7040.16,343582300
5/14/2025,6915.96,6987.78,6914.75,6979.88,6979.88,272470100
5/9/2025,6849.45,6882.32,6811.77,6832.8,6832.8,164380000
5/8/2025,6945.98,6965.93,6824.65,6827.75,6827.75,260892400
5/7/2025,6925.25,6970.5,6909.96,6926.23,6926.23,187668100
5/6/2025,6860.45,6913.69,6858.15,6898.2,6898.2,162346800
5/5/2025,6844.37,6879.11,6824.4,6831.95,6831.95,194998400
5/2/2025,6811.11,6818.28,6765.83,6815.73,6815.73,183083600
4/30/2025,6755.46,6791.25,6725.97,6766.79,6766.79,210149800
4/29/2025,6748.99,6763.89,6724.32,6749.08,6749.08,193012300
4/28/2025,6716.21,6738.35,6688.78,6722.97,6722.97,164549400
4/25/2025,6660.62,6683.36,6640.78,6678.92,6678.92,169030400
4/24/2025,6671.07,6697.9,6585.46,6613.48,6613.48,159090300
4/23/2025,6589.33,6642.92,6588.26,6634.38,6634.38,184488000
4/22/2025,6455.08,6538.32,6428.1,6538.27,6538.27,150312500
4/21/2025,6450.31,6472.54,6406.8,6445.97,6445.97,108855100
4/17/2025,6407.02,6438.27,6384.29,6438.27,6438.27,131124200
4/16/2025,6461.27,6469.6,6373.79,6400.05,6400.05,142022700
4/15/2025,6444.34,6497.53,6395.93,6441.68,6441.68,147079600
4/14/2025,6225.34,6404.07,6225.34,6368.52,6368.52,149701700
4/11/2025,6195.57,6298.78,6148.78,6262.23,6262.23,117642700
4/10/2025,6270.61,6310.83,6188.67,6254.02,6254.02,181443500
4/9/2025,5978.44,6092.41,5949.6,5967.99,5967.99,150044400
4/8/2025,5914.29,6036.55,5882.6,5996.14,5996.14,184790800
3/27/2025,6462.6,6510.62,6417.24,6510.62,6510.62,121855500
3/26/2025,6314.33,6489.15,6312.97,6472.36,6472.36,159762700
3/25/2025,6197.99,6265.3,6178.49,6235.62,6235.62,111267000
3/24/2025,6242.23,6269.9,5967.19,6161.22,6161.22,124187900
3/21/2025,6418.39,6426.17,6218.6,6258.18,6258.18,190225100
3/20/2025,6372.61,6446.89,6353.69,6381.67,6381.67,146168800
3/19/2025,6221.2,6332.73,6147.43,6311.66,6311.66,126795800
3/18/2025,6458.67,6465.22,6011.84,6223.39,6223.39,233069600
3/17/2025,6490.67,6557.41,6445.98,6471.95,6471.95,126321100
3/14/2025,6623.69,6632.08,6514.69,6515.63,6515.63,122970500
3/13/2025,6700.11,6707.39,6618.54,6647.42,6647.42,139851000
3/12/2025,6566.8,6665.04,6566.2,6665.04,6665.04,139690400
3/11/2025,6535.87,6567.58,6499.04,6545.85,6545.85,150016300
3/10/2025,6618.92,6629.44,6568.13,6598.21,6598.21,153564400
3/7/2025,6631.31,6682.94,6577.83,6636,6636,198389400
3/6/2025,6577.85,6667.89,6573.8,6617.85,6617.85,138941500
3/5/2025,6404.69,6570.82,6404.69,6531.4,6531.4,143533500
3/4/2025,6524.7,6528.97,6361.4,6380.4,6380.4,149084200
3/3/2025,6362.15,6570.95,6347.1,6519.66,6519.66,170810200
2/28/2025,6446.64,6447.88,6246.28,6270.6,6270.6,196893700
2/27/2025,6609.89,6626.26,6443.22,6485.45,6485.45,156489700
2/26/2025,6627.02,6682.87,6547.24,6606.18,6606.18,135195100
2/25/2025,6749.44,6772.65,6576.97,6587.09,6587.09,194167900
2/24/2025,6801.68,6818.79,6732.41,6749.6,6749.6,156247700
2/21/2025,6788.9,6814.87,6758.35,6803,6803,131140300
2/20/2025,6796.67,6836.72,6755.43,6788.04,6788.04,168907900
2/19/2025,6877.16,6886.92,6773.91,6794.87,6794.87,159932500
2/18/2025,6847.77,6908.7,6830.78,6873.55,6873.55,158584300
2/17/2025,6663.31,6830.88,6658.22,6830.88,6830.88,136644900
2/14/2025,6640.13,6679.4,6609.67,6638.46,6638.46,121300000
2/13/2025,6637.42,6647.1,6565.78,6613.57,6613.57,126053300
2/12/2025,6540.95,6645.78,6537.48,6645.78,6645.78,141288200
2/11/2025,6629.81,6658.23,6500.46,6531.99,6531.99,146025200
2/10/2025,6681.23,6713.95,6585.98,6648.14,6648.14,153503000
2/7/2025,6758.1,6769.78,6656.72,6742.58,6742.58,152142600
2/6/2025,7030.19,7033.62,6830.11,6875.54,6875.54,170868800
2/5/2025,7071.58,7079.46,7002.52,7024.23,7024.23,247130700
2/4/2025,7051.48,7125.94,7037.63,7073.46,7073.46,250749100
2/3/2025,7087.75,7089.7,6933.14,7030.06,7030.06,135419500
1/31/2025,7113.58,7174.75,7095.68,7109.2,7109.2,125561900
1/30/2025,7142.79,7150.29,7042.69,7073.48,7073.48,156862200
1/24/2025,7255.02,7261.45,7166.06,7166.06,7166.06,122224300
1/23/2025,7275,7324.63,7232.64,7232.64,7232.64,142025900
1/22/2025,7227.02,7267.49,7223.26,7257.13,7257.13,146457400
1/21/2025,7207.59,7221.73,7176.33,7181.82,7181.82,176177100
1/20/2025,7188.4,7201.61,7165.44,7170.74,7170.74,183080100
1/17/2025,7115.05,7178.81,7084.3,7154.66,7154.66,197761000
1/16/2025,7165.18,7190.61,7071.91,7107.52,7107.52,144790100
1/15/2025,6992.85,7084.56,6977.77,7079.56,7079.56,173538400
1/14/2025,7014.8,7042.33,6956.67,6956.67,6956.67,151037100
1/13/2025,7076.7,7089.57,6986.59,7016.88,7016.88,149887800
1/10/2025,7076.9,7121.63,7074.14,7088.87,7088.87,166170500
1/9/2025,7093.25,7106.46,7062.1,7064.59,7064.59,148465600
1/8/2025,7099.66,7129.29,7046.17,7080.35,7080.35,147124800
1/7/2025,7074.26,7103.19,7029.51,7083.28,7083.28,144709900
1/6/2025,7176.12,7182.02,7073.95,7080.47,7080.47,192190300
1/3/2025,7177.25,7197.01,7135.28,7164.43,7164.43,182944400
1/2/2025,7092.43,7163.21,7088.32,7163.21,7163.21,161752600
12/30/2024,7026.78,7079.9,6993.07,7079.9,7079.9,159672400
12/27/2024,7073.38,7100.27,7024.71,7036.57,7036.57,144277600
12/24/2024,7115.64,7120.58,7063.75,7065.75,7065.75,110632900
12/23/2024,7037.53,7096.44,7035.73,7096.44,7096.44,138664700
12/20/2024,6980.17,7032.4,6931.58,6983.87,6983.87,145749700
12/19/2024,7034.62,7040.55,6951.05,6977.24,6977.24,170862900
12/18/2024,7168.97,7216.88,7105.07,7107.88,7107.88,122373300
12/17/2024,7238.17,7263.31,7132.06,7157.73,7157.73,157427600
12/16/2024,7304.22,7320.79,7204.65,7258.63,7258.63,186546900
12/13/2024,7379.75,7399.9,7324.79,7324.79,7324.79,120050700
12/12/2024,7441.97,7470.89,7380.03,7394.24,7394.24,147665300
12/11/2024,7444.86,7530.56,7444.17,7464.75,7464.75,235486300
12/10/2024,7448.77,7457.81,7396.79,7453.29,7453.29,203350400
12/9/2024,7382.61,7440.98,7380.66,7437.73,7437.73,230130900
12/6/2024,7302.67,7382.81,7287.6,7382.79,7382.79,130161700
12/5/2024,7326.02,7338.6,7283.5,7313.31,7313.31,131417800
12/4/2024,7198.1,7328.32,7187.48,7326.76,7326.76,166379200
12/3/2024,7104.93,7196.02,7102.22,7196.02,7196.02,176316700
12/2/2024,7117.75,7153.03,7041.34,7046.99,7046.99,163941100
