"yf-u4m6f0","yf-u4m6f0 2","yf-u4m6f0 3","yf-u4m6f0 4","yf-u4m6f0 5","yf-u4m6f0 6","yf-u4m6f0 7"
"Jan 14, 2026","9,007.05","9,049.30","8,979.60","9,032.58","9,032.58","580,700,100"
"Jan 13, 2026","8,931.24","8,956.73","8,841.02","8,948.30","8,948.30","538,438,100"
"Jan 12, 2026","8,991.76","9,000.97","8,715.41","8,884.72","8,884.72","697,907,000"
"Jan 9, 2026","8,969.15","8,981.02","8,908.17","8,936.75","8,936.75","499,545,200"
"Jan 8, 2026","8,946.70","9,002.92","8,918.41","8,925.47","8,925.47","489,316,100"
"Jan 7, 2026","8,959.09","8,970.87","8,916.03","8,944.81","8,944.81","655,409,500"
"Jan 6, 2026","8,890.72","8,940.11","8,839.01","8,933.61","8,933.61","630,432,800"
"Jan 5, 2026","8,778.73","8,859.19","8,732.32","8,859.19","8,859.19","665,735,100"
"Jan 2, 2026","8,676.74","8,748.13","8,664.97","8,748.13","8,748.13","471,863,900"
"Dec 30, 2025","8,627.40","8,663.67","8,584.87","8,646.94","8,646.94","308,173,000"
"Dec 29, 2025","8,545.72","8,652.18","8,545.72","8,644.26","8,644.26","334,277,800"
"Dec 24, 2025","8,597.39","8,611.33","8,525.10","8,537.91","8,537.91","280,698,800"
"Dec 23, 2025","8,656.65","8,667.73","8,567.00","8,584.78","8,584.78","329,812,800"
"Dec 22, 2025","8,629.25","8,648.79","8,609.39","8,645.84","8,645.84","374,939,200"
"Dec 19, 2025","8,657.24","8,671.77","8,562.89","8,609.55","8,609.55","307,160,800"
"Dec 18, 2025","8,705.14","8,730.71","8,618.20","8,618.20","8,618.20","328,562,900"
"Dec 17, 2025","8,708.33","8,729.47","8,660.75","8,677.34","8,677.34","341,969,700"
"Dec 16, 2025","8,696.70","8,700.86","8,611.35","8,686.47","8,686.47","431,043,000"
"Dec 15, 2025","8,705.24","8,720.68","8,622.99","8,649.66","8,649.66","553,538,600"
"Dec 12, 2025","8,651.77","8,680.04","8,585.42","8,660.50","8,660.50","457,344,900"
"Dec 11, 2025","8,764.09","8,776.97","8,560.11","8,620.48","8,620.48","667,238,000"
"Dec 10, 2025","8,713.71","8,720.88","8,668.61","8,700.92","8,700.92","623,753,400"
"Dec 9, 2025","8,743.21","8,749.26","8,626.85","8,657.18","8,657.18","498,676,700"
"Dec 8, 2025","8,676.73","8,720.09","8,642.06","8,710.70","8,710.70","525,913,600"
"Dec 5, 2025","8,658.89","8,689.10","8,617.04","8,632.76","8,632.76","421,538,600"
"Dec 4, 2025","8,646.65","8,650.30","8,606.90","8,640.20","8,640.20","447,262,700"
